,station,date,latitude,longitude,elevation,name,prcp,snwd,tmax,tmin,tavg,tavg_attributes,city name,cou
16007,GME00126910,2020-01-28,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",49.0,0.0,,,,,Munich,DEU
16008,GME00126910,2020-01-29,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",4.0,0.0,,,,,Munich,DEU
16009,GME00126910,2020-01-30,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",22.0,0.0,,,,,Munich,DEU
16010,GME00126910,2020-01-31,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
16011,GME00126910,2020-02-01,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",168.0,0.0,,,,,Munich,DEU
16012,GME00126910,2020-02-02,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",295.0,0.0,,,,,Munich,DEU
16013,GME00126910,2020-02-03,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",313.0,0.0,,,,,Munich,DEU
16014,GME00126910,2020-02-04,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",28.0,0.0,,,,,Munich,DEU
16015,GME00126910,2020-02-05,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
16016,GME00126910,2020-02-06,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
16017,GME00126910,2020-02-07,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
16018,GME00126910,2020-02-08,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
16019,GME00126910,2020-02-09,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
16020,GME00126910,2020-02-10,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",163.0,0.0,,,,,Munich,DEU
16021,GME00126910,2020-02-11,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",2.0,0.0,,,,,Munich,DEU
16022,GME00126910,2020-02-12,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",16.0,0.0,,,,,Munich,DEU
16023,GME00126910,2020-02-13,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",33.0,0.0,,,,,Munich,DEU
16024,GME00126910,2020-02-14,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",13.0,0.0,,,,,Munich,DEU
16025,GME00126910,2020-02-15,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
